editionID,festivalID,year,ceromanyNumber,startDate,endDate
1,1,1946,1,1946-09-20,1946-10-05
2,2,1932,1,1932-08-06,1932-08-21
3,3,1951,1,1951-06-06,1951-06-17
4,4,1929,1,1929-05-16,1929-05-16
5,1,1955,8,1955-04-26,1955-05-10
6,2,1947,8,1947-08-23,1947-09-15
7,3,1960,10,1960-06-24,1960-07-05
8,4,1938,10,1938-03-10,1938-03-10
9,1,1965,18,1965-05-12,1965-05-25
10,2,1957,18,1957-08-25,1957-09-08
11,3,1970,20,1970-06-25,1970-07-05
12,4,1948,20,1948-03-20,1948-03-20
13,1,1975,28,1975-05-09,1975-05-23
14,2,1967,28,1967-08-26,1967-09-08
15,3,1980,30,1980-02-18,1980-02-29
16,4,1958,30,1958-03-26,1958-03-26
17,1,1985,38,1985-05-08,1985-05-20
18,2,1977,38,1977-08-24,1977-09-06
19,3,1990,40,1990-02-09,1990-02-20
20,4,1968,40,1968-04-10,1968-04-10
21,1,1995,48,1995-05-17,1995-05-28
22,2,1987,44,1987-08-29,1987-09-09
23,3,2000,50,2000-02-09,2000-02-20
24,4,1978,50,1978-04-03,1978-04-03
25,1,2005,58,2005-05-11,2005-05-22
26,2,1997,54,1997-08-27,1997-09-06
27,3,2010,60,2010-02-11,2010-02-21
28,4,1988,60,1988-04-11,1988-04-11
29,1,2015,68,2015-05-13,2015-05-24
30,2,2007,64,2007-08-29,2007-09-08
31,3,2020,70,2020-02-20,2020-03-01
32,4,1998,70,1998-03-23,1998-03-23
33,1,2023,76,2023-05-16,2023-05-27
34,2,2023,80,2023-08-30,2023-09-09
35,3,2023,73,2023-02-16,2023-02-26
36,4,2023,95,2023-03-12,2023-03-12
37,4,1930,2,1930-04-03,1930-04-03
38,4,1931,3,1931-11-10,1931-11-10
39,4,1932,4,1932-11-18,1932-11-18
40,4,1933,5,1933-03-16,1933-03-16
41,4,1934,6,1934-03-16,1934-03-16
42,4,1935,7,1935-02-27,1935-02-27
43,4,1936,8,1936-03-05,1936-03-05
44,4,1937,9,1937-03-04,1937-03-04
45,4,1939,11,1939-02-23,1939-02-23
46,4,1940,12,1940-02-29,1940-02-29
47,4,1941,13,1941-02-27,1941-02-27
48,4,1942,14,1942-02-26,1942-02-26
49,4,1943,15,1943-03-04,1943-03-04
50,4,1944,16,1944-03-02,1944-03-02
51,4,1945,17,1945-03-15,1945-03-15
52,4,1946,18,1946-03-07,1946-03-07
53,4,1947,19,1947-03-13,1947-03-13
54,4,1949,21,1949-03-24,1949-03-24
55,4,1950,22,1950-03-23,1950-03-23
56,4,1951,23,1951-03-29,1951-03-29
57,4,1952,24,1952-03-20,1952-03-20
58,4,1953,25,1953-03-19,1953-03-19
59,4,1954,26,1954-03-25,1954-03-25
60,4,1955,27,1955-03-30,1955-03-30
61,4,1956,28,1956-03-21,1956-03-21
62,4,1957,29,1957-03-27,1957-03-27
63,4,1959,31,1959-04-06,1959-04-06
64,4,1960,32,1960-04-04,1960-04-04
65,4,1961,33,1961-04-17,1961-04-17
66,4,1962,34,1962-04-09,1962-04-09
67,4,1963,35,1963-04-08,1963-04-08
68,4,1964,36,1964-04-13,1964-04-13
69,4,1965,37,1965-04-05,1965-04-05
70,4,1966,38,1966-04-18,1966-04-18
71,4,1967,39,1967-04-10,1967-04-10
72,4,1969,41,1969-04-14,1969-04-14
73,4,1970,42,1970-04-07,1970-04-07
74,4,1971,43,1971-04-15,1971-04-15
75,4,1972,44,1972-04-10,1972-04-10
76,4,1973,45,1973-03-27,1973-03-27
77,4,1974,46,1974-04-02,1974-04-02
78,4,1975,47,1975-04-08,1975-04-08
79,4,1976,48,1976-03-29,1976-03-29
80,4,1977,49,1977-03-28,1977-03-28
81,4,1979,51,1979-04-09,1979-04-09
82,4,1980,52,1980-04-14,1980-04-14
83,4,1981,53,1981-03-31,1981-03-31
84,4,1982,54,1982-03-29,1982-03-29
85,4,1983,55,1983-04-11,1983-04-11
86,4,1984,56,1984-04-09,1984-04-09
87,4,1985,57,1985-03-25,1985-03-25
88,4,1986,58,1986-03-24,1986-03-24
89,4,1987,59,1987-03-30,1987-03-30
90,4,1989,61,1989-03-29,1989-03-29
91,4,1990,62,1990-03-26,1990-03-26
92,4,1991,63,1991-03-25,1991-03-25
93,4,1992,64,1992-03-30,1992-03-30
94,4,1993,65,1993-03-29,1993-03-29
95,4,1994,66,1994-03-21,1994-03-21
96,4,1995,67,1995-03-27,1995-03-27
97,4,1996,68,1996-03-25,1996-03-25
98,4,1997,69,1997-03-24,1997-03-24
99,4,1999,71,1999-03-21,1999-03-21
100,4,2000,72,2000-03-26,2000-03-26
101,4,2001,73,2001-03-25,2001-03-25
102,4,2002,74,2002-03-24,2002-03-24
103,4,2003,75,2003-03-23,2003-03-23
104,4,2004,76,2004-02-29,2004-02-29
105,4,2005,77,2005-02-27,2005-02-27
106,4,2006,78,2006-03-05,2006-03-05
107,4,2007,79,2007-02-25,2007-02-25
108,4,2008,80,2008-02-24,2008-02-24
109,4,2009,81,2009-02-22,2009-02-22
110,4,2010,82,2010-03-07,2010-03-07
111,4,2011,83,2011-02-27,2011-02-27
112,4,2012,84,2012-02-26,2012-02-26
113,4,2013,85,2013-02-24,2013-02-24
114,4,2014,86,2014-03-02,2014-03-02
115,4,2015,87,2015-02-22,2015-02-22
116,4,2016,88,2016-02-28,2016-02-28
117,4,2017,89,2017-02-26,2017-02-26
118,4,2018,90,2018-03-04,2018-03-04
